seq,name/first,name/last,age,street,city,state,zip,pick,date
1,Bryan,Doyle,58,Imigak Street,Gezveemu,MT,51803,YELLOW,05/27/2022
2,Alice,Thomas,62,Isufas Highway,Fofewja,NH,46555,RED,03/05/1922
3,Bertha,Owens,65,Wecen River,Etoneros,MD,84227,BLUE,02/10/2005
4,Antonio,Austin,45,Cavuh Road,Itaufno,TX,36360,RED,04/26/1980
5,Ada,Burton,65,Rekbat Heights,Gebizus,WY,86470,GREEN,10/04/1940
6,Nicholas,Pratt,38,Udenu Square,Ogmuwo,MI,89754,RED,01/16/1986
7,Ricky,Benson,41,Fote Terrace,Kamupet,TX,43108,WHITE,03/30/1910
8,Gavin,Carpenter,42,Igdil Terrace,Rilavioha,SC,44327,RED,04/03/1952
9,Nell,Reeves,56,Zuib Loop,Umiwive,ME,43177,BLUE,04/25/2062
10,Ricky,Valdez,23,Hipit Highway,Voenciz,WI,06067,WHITE,08/13/2044
11,Francisco,Love,26,Duav Grove,Jozuve,IA,07332,YELLOW,04/18/2005
12,Corey,Mendez,54,Uzhe Key,Ejutto,VT,28752,WHITE,08/09/1932
13,Stella,Grant,37,Vuku Ridge,Nepekpul,AL,90559,YELLOW,11/16/1954
14,Aaron,Barton,47,Ruli Avenue,Romithov,NH,28860,WHITE,01/16/1909
15,Lena,Goodman,43,Nizus View,Vokjawevo,KY,44875,YELLOW,05/22/1978
16,Wesley,McKenzie,45,Huoj Court,Befvihfu,KS,89887,YELLOW,01/06/2060
17,Francis,Moran,44,Kovser Way,Tekbuki,NY,66022,BLUE,04/25/1938
18,Rose,Payne,28,Mafros Ridge,Siujwi,MT,41866,RED,12/23/1919
19,Georgie,Flores,54,Hisib Pike,Zavrizmez,TX,43754,WHITE,07/19/1962
20,Nelle,Newman,22,Kazum Loop,Dewsaew,HI,37725,BLUE,12/18/1956
21,Betty,Curry,62,Pibe Lane,Fammekoc,WV,84001,RED,02/01/1953
22,Hallie,Gray,18,Akpev Parkway,Desnevoc,NH,02681,WHITE,05/28/1927
23,Sue,Peters,27,Edbe Turnpike,Dankejo,NJ,78221,GREEN,07/10/1975
24,Hannah,Collier,48,Jozpe Grove,Wiwuhika,TX,38394,RED,09/15/2006
25,Connor,Pittman,39,Tihob Drive,Lumuzwag,SC,74250,WHITE,12/13/1929
26,Charlie,Graham,38,Dohhu Avenue,Jiashu,NH,24320,WHITE,05/26/2021
27,Frank,Freeman,39,Ofifor Plaza,Zijinlun,TX,61054,GREEN,04/08/1927
28,Alberta,Cain,20,Orives Place,Rojluzi,CO,61578,RED,05/17/2056
29,Hattie,Griffith,51,Mazi Path,Fuclode,NH,72282,GREEN,03/07/2007
30,Garrett,Barber,18,Vuvjej Key,Rilcurtoh,VT,77731,YELLOW,02/03/2040
31,Sallie,Brown,32,Valid Trail,Ewsunud,AK,79043,YELLOW,08/25/2044
32,Grace,Turner,24,Zomace Path,Konoad,SD,17612,GREEN,08/19/2038
33,Billy,Brooks,32,Sawdo Court,Lujcozjot,DC,58687,RED,08/27/1995
34,Eunice,Washington,31,Pacve Boulevard,Nevnadbi,AK,35375,GREEN,09/20/2041
35,Adelaide,Parker,52,Cevoj Way,Zallimtun,AR,19190,GREEN,01/06/2061
36,Johnny,Warren,41,Valini Pike,Votzudde,GA,37871,GREEN,07/01/2054
37,Joseph,Marsh,36,Mogug Heights,Bolkollo,VA,92333,YELLOW,09/26/1969
38,Cynthia,Massey,20,Piaj Road,Ujujzek,OR,84961,YELLOW,12/03/2010
39,Jeffery,Butler,43,Kanir Point,Nalnewod,AK,43702,RED,03/19/1982
40,Leon,Valdez,52,Rehcob Junction,Iliruher,KS,15920,YELLOW,02/11/2047
41,Minerva,Hayes,44,Jaci Heights,Hesturteb,VT,64103,GREEN,02/24/2015
42,Bess,Bass,51,Lidu Parkway,Zikpiska,ID,54759,GREEN,10/26/1968
43,Evelyn,Norton,62,Icebu Avenue,Boojudu,NM,02582,YELLOW,07/29/1984
44,Max,McLaughlin,31,Omucaw Street,Fidiskij,DC,38112,WHITE,08/20/2014
45,Chad,Sandoval,54,Ereumi Parkway,Lujmumum,IA,64174,RED,09/30/1993
46,Sam,Hawkins,41,Omruz Place,Cupzijfuc,ME,70073,RED,09/03/2059
47,Mattie,Harris,59,Bimil View,Ugigujeh,FL,10893,YELLOW,05/29/2021
48,Emilie,Reese,63,Tuuv Circle,Jukuema,MI,20876,WHITE,04/16/1917
49,George,Snyder,28,Taju Park,Gabrupno,WY,97954,YELLOW,11/04/2064
50,Lucille,Spencer,56,Soce Loop,Feprahuz,UT,36902,GREEN,03/12/1950
51,Victoria,Ballard,41,Ronda Avenue,Raivomin,WI,31013,WHITE,02/27/2000
52,Alexander,Lamb,40,Danhiz Key,Zoclebti,FL,20842,YELLOW,01/23/1912
53,Frank,Turner,19,Otgi Highway,Lowarsa,WA,29188,BLUE,01/28/1924
54,Martin,Stone,55,Mukhif Heights,Ubaujkag,SD,96459,YELLOW,10/10/1947
55,Warren,Boone,56,Rirgu Pass,Uzonopuf,MA,36133,BLUE,05/13/2029
56,Christina,Wood,39,Letin Parkway,Nulake,TN,35741,WHITE,04/04/1989
57,Phoebe,Collins,34,Jiun Pike,Makpogak,FL,77174,BLUE,02/01/2048
58,Steven,Barton,62,Wodid Manor,Kivkaru,NH,33241,WHITE,01/07/1963
59,Floyd,Elliott,47,Ilimit Trail,Bovuho,PA,46753,WHITE,04/16/2069
60,Essie,Pratt,54,Sapuw Boulevard,Tituho,WV,99448,YELLOW,04/13/1987
61,Rachel,Daniels,50,Foaze Ridge,Lufeoko,NH,29150,RED,11/18/2049
62,Jeffery,Moody,63,Alpo Glen,Hodrafri,LA,26201,YELLOW,10/05/1967
63,Luella,Weber,64,Godi Heights,Tarloro,IL,48873,WHITE,07/29/1935
64,Eula,Hunter,58,Emave Center,Ojmoghut,CT,12596,GREEN,03/15/1999
65,Nathaniel,Huff,39,Awdov Square,Hecubi,AR,14599,BLUE,04/04/1989
66,Sophie,Webb,54,Gerol Highway,Tumowben,NV,17113,GREEN,08/04/2060
67,Johnny,Sanchez,64,Zidlab Circle,Napcucewe,OK,23664,BLUE,10/05/2003
68,Mattie,Rodgers,52,Faub View,Togcohum,UT,65296,BLUE,11/01/2035
69,Leila,Phelps,39,Mirwo Place,Gisoli,AL,03067,GREEN,12/05/1938
70,May,Higgins,48,Rozew Loop,Pumuzi,WV,11015,RED,05/18/1918
71,Beulah,Daniels,34,Jariz Road,Ebazomkew,NH,65096,GREEN,08/28/1902
72,Sophie,Burton,31,Dipluz Point,Afteuda,RI,68083,YELLOW,04/30/2027
73,Clarence,Manning,57,Muvak Pike,Zestaapi,TN,93725,BLUE,06/02/1964
74,Delia,Houston,61,Temwi Heights,Luafewo,WI,40580,YELLOW,01/04/2017
75,Myrtie,Swanson,46,Lihpih Key,Gejjuzog,MN,43436,GREEN,04/07/1961
76,Charlotte,Carson,64,Amocu Boulevard,Idfoje,MS,10004,BLUE,03/22/1987
77,Rosalie,Maldonado,34,Uzecij Pike,Ihopercam,UT,86933,YELLOW,10/16/1930
78,Mollie,Beck,44,Apjit Pass,Mewowdod,ND,58096,GREEN,01/05/1912
79,Samuel,Guerrero,23,Naubi Road,Kebwajaja,KS,47249,YELLOW,06/25/1916
80,Edward,May,44,Itije Ridge,Zecruco,CA,88337,BLUE,07/24/1987
81,Brent,Mann,19,Guca Glen,Rewahib,ND,39747,GREEN,05/24/1902
82,Jason,Ball,28,Loco Pass,Pupegcad,OH,23343,BLUE,11/23/1941
83,Hettie,Baldwin,65,Fipra Point,Cigokned,MA,94501,BLUE,12/11/1906
84,Caroline,Frazier,63,Uhdin View,Umuwani,NJ,61964,GREEN,08/07/2029
85,Edna,Garrett,59,Eguwi Drive,Mukascec,VA,63271,RED,03/25/1935
86,Jared,May,44,Omdu Street,Rajfufde,MT,71036,RED,12/22/2053
87,Ellen,Sherman,22,Edehar Way,Figojifo,OK,83990,GREEN,10/17/1941
88,Larry,Jenkins,39,Migtuf Heights,Onvujjid,ID,54456,BLUE,09/10/2009
89,Florence,Tucker,54,Rinuj Terrace,Godmazo,WI,85260,BLUE,07/27/2041
90,Isaac,Warren,44,Uwiigu Place,Fezdewsuh,UT,85755,YELLOW,12/26/1967
91,Bruce,Cortez,39,Huhuz Grove,Bamizzoz,OK,08325,WHITE,06/08/1975
92,Brett,Floyd,36,Debjuj River,Zihdodwod,IN,64601,GREEN,09/28/1983
93,Dominic,George,40,Rosoj Circle,Luugapem,ID,91094,BLUE,12/21/1984
94,Gussie,Sandoval,57,Pocsu Highway,Kakewica,IA,92418,YELLOW,02/14/1903
95,Bess,Little,23,Vinkod Drive,Jatiktaw,GA,64609,YELLOW,12/20/2044
96,Lora,Dunn,60,Julib River,Vuwegru,NE,22746,BLUE,09/07/2060
97,Sean,Peters,38,Nopem Lane,Firuvi,MO,61718,RED,04/12/1943
98,Ralph,Montgomery,42,Vekwil Extension,Teawipi,SC,66078,RED,04/07/2068
99,Luke,Sharp,38,Unnuw View,Zuwagili,OR,01726,BLUE,11/25/1909
100,Max,Pope,43,Cuhaf Junction,Zopredbid,AL,26832,GREEN,03/17/1995
101,Agnes,Wright,54,Boigi Glen,Hedoseru,KS,36280,RED,06/04/1955
102,Fred,Johnson,37,Nifvoj Grove,Idatigfev,DC,67441,YELLOW,11/02/2033
103,Nicholas,Nichols,35,Gaczo Highway,Hobawoufo,MO,27261,RED,10/20/1992
104,Brian,Little,19,Hepuk Boulevard,Folehkij,MA,15020,YELLOW,12/01/2027
105,Lucas,Edwards,65,Tonaf Plaza,Degapiz,KY,61160,RED,03/30/2016
106,Carlos,Wallace,47,Heuf Junction,Pamiju,GA,47174,BLUE,02/08/1951
107,Johanna,Singleton,30,Wupmo Extension,Bogcekvac,NJ,27563,WHITE,02/08/2048
108,Jack,Newton,46,Mesib Key,Rawafogu,GA,58258,YELLOW,02/10/1917
109,Mina,Chavez,65,Tenej View,Lipeddo,NV,62819,YELLOW,10/18/2030
110,Linnie,Schneider,25,Picotu Mill,Sohjotik,RI,09450,WHITE,06/12/2039
111,Bettie,Moore,59,Voso Boulevard,Guefogu,IA,99387,YELLOW,10/09/2069
112,Jack,Phelps,52,Zerumu Court,Kibzicwac,NM,94593,YELLOW,12/12/1973
113,Dylan,Beck,43,Piwrir Parkway,Vacelna,TX,25593,WHITE,01/12/2040
114,Troy,Townsend,24,Ravcor Road,Akefizci,ME,11336,RED,06/17/2060
115,Maria,Flowers,28,Zapho Loop,Mefpepid,MI,27410,WHITE,06/14/1915
116,Alberta,Caldwell,42,Wivul Road,Nubefto,IA,86400,RED,12/08/1935
117,Lewis,Morales,40,Cichaz Park,Riwalni,UT,66671,GREEN,09/05/1982
118,Ernest,Sims,36,Rekot Place,Kadahzig,FL,79434,GREEN,09/23/2061
119,Violet,McCormick,40,Emwav Glen,Puvdaor,UT,88741,WHITE,04/09/1926
120,Mae,Greer,56,Togu Pass,Pivtarha,GA,23090,YELLOW,05/02/2066
121,Sara,Daniel,29,Konvow Manor,Mehepbap,LA,16439,RED,07/17/2036
122,Allie,Henderson,57,Wumiz Drive,Gukepso,MO,34519,GREEN,07/17/1933
123,Mary,Stevens,56,Pijut Street,Bouminu,NV,55931,YELLOW,06/28/1930
124,Florence,Patrick,49,Sedal Boulevard,Hiwvavnem,AL,86399,WHITE,01/10/1960
125,Leon,Hubbard,48,Dulom Park,Vidfudmag,WI,46640,WHITE,12/01/1954
126,Essie,Burgess,62,Gelo Path,Tilavad,AZ,03137,GREEN,03/31/1958
127,Frances,Franklin,20,Morza Pike,Ofnougo,NV,40807,BLUE,01/26/2017
128,Isabella,Matthews,42,Nujas Extension,Wigide,TX,31293,GREEN,07/09/2051
129,Lula,Burke,39,Fosik Manor,Omufoze,SC,77845,GREEN,10/25/2028
130,Lewis,Paul,55,Tuhwe Grove,Nuulmon,VA,88846,YELLOW,06/07/2035
131,Amelia,Perkins,59,Iluwu Mill,Kadzikem,MD,96782,RED,09/19/2063
132,Ernest,Chapman,38,Kukom Grove,Gufcake,LA,12340,YELLOW,03/02/1964
133,Lura,Clarke,25,Jecef Park,Ahafiwun,UT,57948,BLUE,10/30/1989
134,Austin,Torres,55,Tamo Point,Ehevatuh,AK,84611,YELLOW,08/11/2045
135,Tommy,Buchanan,23,Wiobe Junction,Ofcocbav,CA,36658,BLUE,07/09/1978
136,Helen,Sherman,34,Egne Key,Faicuh,LA,79971,BLUE,12/22/2012
137,Laura,Day,49,Vugo Center,Vetkarov,AK,73486,YELLOW,07/25/2008
138,Harry,Gibbs,42,Zuhif Trail,Dativtof,VT,51988,RED,11/04/1933
139,Gilbert,Ortiz,41,Coja Drive,Icbeid,AK,45033,GREEN,05/21/1957
140,Wayne,Ramsey,29,Bokasu Ridge,Lokomfu,WI,84720,RED,09/28/1939
141,Jonathan,Steele,22,Egsen Point,Bipwebku,SD,42267,WHITE,12/31/1977
142,Gerald,Long,41,Daflat View,Jivucja,KY,18944,BLUE,06/21/1947
143,Trevor,Hubbard,45,Fegkon Loop,Fogapac,TN,62650,GREEN,04/01/2037
144,Clara,Barnes,47,Ohdup Pass,Monavig,AK,64563,RED,11/14/1929
145,Arthur,Bell,49,Tatcas Heights,Zelbovos,MO,20692,BLUE,05/15/1959
146,Ernest,Burgess,51,Togu Pass,Ruhulrat,MI,11025,BLUE,12/23/1981
147,Francis,Morgan,64,Bufzo Junction,Firiir,OH,90689,RED,01/16/1900
148,Calvin,Richardson,30,Kebluc Terrace,Gizuapu,TX,97755,BLUE,03/08/1942
149,Bertie,McKenzie,41,Deraz Avenue,Hetdouco,DE,36366,GREEN,01/14/1917
150,Floyd,Massey,25,Hamol Path,Uppapces,IA,17631,RED,02/20/1971
151,Francis,Morris,36,Cojis Ridge,Wigboli,SD,56879,BLUE,09/18/1981
152,Lawrence,Doyle,36,Ekudi Junction,Ovkihow,NH,98738,WHITE,11/29/1997
153,Derek,James,18,Jufot Ridge,Cavowu,WI,75161,WHITE,07/01/1923
154,Tillie,Waters,52,Jiec Loop,Cerusnic,FL,45227,WHITE,09/15/2048
155,Duane,Baldwin,52,Canpe Junction,Vesuti,MA,84413,GREEN,04/26/1983
156,Lucinda,Lane,34,Gihte Street,Vewolki,RI,61714,RED,10/05/1974
157,Brandon,Watkins,35,Adnod Park,Dicevhew,AL,19931,GREEN,02/27/1976
158,Elsie,Walsh,21,Avoavo Loop,Vaohuhev,HI,13308,GREEN,10/01/2028
159,Roxie,Schneider,58,Wazeb Junction,Sochubuzi,IL,04917,RED,09/17/2012
160,Oscar,Huff,27,Nubsa Trail,Ticoci,NH,73095,BLUE,02/01/1942
161,Bertie,Haynes,61,Neci Key,Zacacipu,WY,21911,WHITE,01/12/2011
162,Henry,Bowen,23,Kifnah Key,Rufilez,ID,95669,YELLOW,05/29/1989
163,Isaac,Campbell,21,Kumub Grove,Ubhitazo,SD,97694,BLUE,06/14/1943
164,Cynthia,Hudson,25,Nosis Plaza,Hahofo,MI,61974,RED,09/25/2063
165,Rachel,Huff,52,Pukpu Turnpike,Riclaura,DE,66862,WHITE,09/26/2024
166,Abbie,Bryant,41,Zuki Boulevard,Vasucoja,SD,46374,GREEN,02/14/2021
167,Mary,Hill,41,Siuk Square,Mumogsog,RI,06336,BLUE,09/11/1981
168,Cameron,Baker,51,Safom Park,Giptisek,UT,32135,GREEN,04/04/2006
169,Georgia,Cross,62,Giwu River,Bemcoczis,NV,46704,BLUE,03/21/1915
170,Eugene,Mathis,47,Buho Park,Meidrig,OK,40526,GREEN,02/26/1914
